행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
금호4가동,39.6,5.78,-10.1,320,253,171
길동,293.8,6.87,-11.6,79,197,202
길음1동,20.8,4.18,-18.5,371,352,337
길음2동,46.7,5.29,-14.9,302,288,271
낙성대동,510.9,25.21,-12.3,42,12,221
난곡동,55.0,7.24,-16.7,284,180,308
난향동,6.0,3.46,-6.0,415,388,101
남가좌1동,17.9,2.07,-10.3,385,416,176
남가좌2동,119.9,10.51,0.2,182,87,42
남영동,386.8,15.28,-7.5,56,41,124
남현동,195.1,16.85,-9.9,123,31,165
내곡동,9.2,3.75,3.3,407,376,29
노량진1동,1012.8,7.56,-23.4,18,169,383
노량진2동,2146.4,6.73,-11.8,4,209,206
녹번동,83.0,4.55,-21.2,231,334,368
논현1동,1421.7,14.0,-11.2,12,47,193
논현2동,703.0,9.17,-15.5,24,119,285
능동,137.3,13.42,-8.7,163,50,142
다산동,150.2,9.07,-22.0,149,122,374
답십리1동,68.2,4.75,-18.2,257,326,332
답십리2동,73.0,6.08,-12.0,248,239,212
당산1동,366.5,6.27,18.2,61,230,7
당산2동,279.3,12.09,-16.2,82,66,299
대림1동,63.2,5.3,-14.9,270,286,271
대림2동,67.8,4.17,-18.8,258,354,342
대림3동,92.3,1.82,-34.4,217,418,415
대방동,181.5,8.0,-18.3,129,149,334
대조동,227.2,9.22,-7.5,106,117,124
대치1동,136.7,2.57,-4.8,164,409,82
대치2동,206.1,2.96,-15.1,114,398,281
대치4동,518.5,6.06,-11.4,41,241,199
대학동,256.9,20.99,-19.7,93,17,358
대흥동,365.2,16.21,-8.2,62,36,133
도곡1동,144.6,5.25,-9.9,154,291,165
도곡2동,152.3,5.25,-6.6,147,291,106
도림동,24.6,4.41,-27.4,362,342,405
도봉1동,66.9,3.57,-19.3,260,380,355
도봉2동,26.1,5.38,-3.4,356,279,70
도화동,158.5,6.78,-16.2,141,203,299
독산1동,237.6,2.69,-17.9,102,403,328
독산2동,43.4,5.15,-24.6,314,301,393
독산3동,74.3,4.93,-10.1,247,313,171
독산4동,61.6,8.8,-26.3,273,128,401
돈암1동,10.3,2.93,-31.8,403,402,411
돈암2동,13.1,4.2,-5.0,396,350,86
동선동,640.3,23.83,-14.2,30,13,255
동화동,89.1,9.68,12.3,224,101,11
둔촌2동,50.7,4.88,-18.5,292,317,337
등촌1동,241.7,7.8,-10.7,101,160,183
등촌2동,28.3,6.81,4.1,347,201,25
등촌3동,164.8,6.21,-16.0,137,236,296
마장동,67.4,6.23,-13.7,259,233,245
마천1동,35.3,2.49,11.5,331,411,13
마천2동,55.7,3.53,-7.0,283,384,110
망우3동,30.6,5.25,-18.9,342,291,344
망우본동,146.4,5.34,-12.5,150,283,227
망원1동,285.6,13.82,-9.2,80,48,151
망원2동,102.3,7.99,-26.3,203,150,401
면목2동,51.9,5.04,-13.5,289,305,240
면목3·8동,145.7,9.61,-17.7,152,103,323
면목4동,27.1,5.45,-18.4,350,274,335
면목5동,20.9,5.68,27.2,370,262,5
면목7동,102.1,5.49,-12.3,204,271,221
면목본동,152.4,6.67,-14.3,146,210,259
명동,1258.3,12.66,-2.7,15,61,62
명일1동,121.9,5.02,-14.4,180,307,261
명일2동,144.2,4.29,-25.2,155,348,396
목1동,255.4,7.57,-9.5,95,168,158
목2동,100.3,8.68,-22.8,207,131,380
목3동,96.9,6.55,-4.6,209,217,78
목4동,47.8,4.31,-7.4,299,346,120
목5동,59.9,2.11,-8.8,275,415,146
무악동,16.5,5.19,-7.3,388,300,117
묵1동,105.3,5.46,-11.2,198,272,193
묵2동,91.5,7.74,0.7,218,162,37
문래동,468.9,7.44,-3.7,47,173,73
문정1동,91.4,7.12,3.3,219,184,29
문정2동,377.0,6.6,-14.1,60,213,253
미성동,63.9,5.89,-11.3,269,246,197
미아동,124.5,6.75,-43.7,177,207,421
반포1동,353.1,10.82,-2.3,65,82,56
반포2동,29.4,2.41,-24.4,345,412,392
반포3동,179.5,4.45,-6.5,130,340,105
반포4동,131.2,2.95,-19.0,170,400,347
반포본동,1.4,2.26,-25.4,421,413,398
발산1동,205.4,3.24,-16.8,115,394,312
방배1동,252.4,8.92,-8.2,98,124,133
방배2동,213.5,11.41,-15.0,111,78,276
방배3동,25.9,2.5,-13.0,358,410,232
