코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11350695,44587.85470064102,5999.429208173077,44634.42807140151,5918.716878977272,0.998956559481708,1.0136367950767315,상계6·7동,주거형
11350700,17038.55130769231,1690.3690857371794,16826.670447727272,1602.7983195075758,1.0125919658689015,1.0546361729755918,상계8동,주거형
11350710,16515.78716330128,1817.0544870192307,16122.840431123737,1668.5123559343435,1.0243720536623928,1.089026689287959,상계9동,주거형
11350720,12854.5937,1823.6651879807691,11619.88238794192,1575.38991489899,1.1062585033854864,1.1575960787445425,상계10동,상권형
11380510,31379.004169230768,4120.18893125,30468.866411553034,3914.699498800505,1.0298710738162753,1.0524917512857521,녹번동,주거형
11380520,26694.673478205128,3225.63211025641,24752.0172207702,2895.1743027146463,1.0784847651045095,1.114140902408505,불광1동,주거형
11380530,22817.37572724359,3141.619182852564,21436.728278156566,2811.188764267677,1.0644056980697874,1.1175411707619587,불광2동,주거형
11380551,18250.20922419872,3074.483626121795,17552.767695012626,2746.813581060606,1.0397339918868898,1.1192909658378303,갈현1동,주거형
11380552,20856.07240224359,2966.4315876602564,20116.463868623738,2669.225964457071,1.0367663292341076,1.1113452465848608,갈현2동,주거형
11380560,26004.390638301284,3202.5457169871797,25355.029900189395,3027.5400186868687,1.0256107265764667,1.0578045863044334,구산동,주거형
11380570,55648.806881891025,7769.750695192307,53879.123827335854,7303.560459848485,1.0328454311956965,1.0638305437336646,대조동,주거형
11380580,22127.95052451923,2946.551594070513,21195.449320138887,2825.1932188131314,1.0439953496760424,1.042955778900094,응암1동,주거형
11380590,16996.08955320513,1432.5192432692309,15686.87922304293,1302.582377020202,1.0834589411665172,1.0997532812828879,응암2동,주거형
11380600,24314.61414903846,3141.85308301282,23596.491235101013,2924.9380690025255,1.0304334617711808,1.0741605493494322,응암3동,주거형
11380625,40894.486745352566,5337.516784294872,38115.462470075756,4931.250422285353,1.0729106796869803,1.082386073960778,역촌동,주거형
11380631,24100.40620592949,3199.7996724358973,22203.615617550506,2928.3586797979797,1.0854271043532069,1.0926939020518633,신사1동,주거형
11380632,13102.00461554487,1539.4072575320513,12658.947087563132,1411.42378510101,1.034999556038671,1.0906768567896012,신사2동,주거형
11380640,14417.146214102566,1880.832547596154,13979.623934027779,1765.0223546717173,1.0312971423365556,1.0656140091471966,증산동,주거형
11380650,16470.794159294874,2126.2800748397435,16167.748070896465,2146.997309406566,1.0187438650744391,0.9903506005917871,수색동,주거형
11380690,57875.466382852566,6406.654963301282,54746.24703244949,5944.21287209596,1.0571586094029113,1.0777970273198278,진관동,주거형
11410520,13400.057698076924,1663.9870230769232,13815.351562689395,1771.5194091540402,0.9699396817570651,0.939299346356884,천연동,주거형
11410555,36397.63706073718,5321.3354491987175,52335.108546464646,7749.185912563132,0.6954726582523907,0.6866960619142799,북아현동,오피스형
11410565,35950.81153846154,5983.0371434294875,45124.9606824495,7289.544217171717,0.7966945786712658,0.82076971689608,충현동,오피스형
11410585,46448.31814022436,20323.581405929486,56902.93354993687,23960.66556445707,0.8162728218477919,0.8482060463327535,신촌동,혼합형
11410615,36534.56152580128,9247.289569711538,36553.932799305556,9044.32393604798,0.999470063218351,1.0224412167342434,연희동,주거형
11410620,25287.751172916665,3205.101807371795,23473.50315719697,2939.3868759469697,1.077289188732081,1.0903980804973898,홍제1동,주거형
11410640,14742.489022115386,1818.0489365384617,14100.874282638888,1701.2136505050505,1.0455017700758071,1.068677609069693,홍제3동,주거형
11410655,9333.741003365385,1036.6703565705127,8840.704502462122,985.5230944444444,1.0557689153354184,1.0518985931576783,홍제2동,주거형
11410660,14731.463273076923,1690.0678407051284,13399.872129608586,1547.127705239899,1.0993734216706463,1.0923906507401502,홍은1동,주거형
11410685,22809.034988301282,3304.4203275641025,21960.652676641414,3182.7864056818185,1.0386319261158505,1.0382161748790766,홍은2동,주거형
11410690,8773.01170448718,842.0444068910257,8257.485229419191,791.0617391414141,1.0624314135290618,1.0644484055125027,남가좌1동,주거형
11410700,20167.687039583332,3912.1479318910256,19915.157438257575,4079.0363126262628,1.0126802714017535,0.9590863213895277,남가좌2동,주거형
11410710,13746.176525801284,1268.0074150641026,13113.237840151516,1182.7833249368687,1.0482671551729024,1.0720538481820268,북가좌1동,주거형
11410720,29908.152090384614,4128.887373397436,28418.053288194445,3929.685839835858,1.0524349358866603,1.050691465343677,북가좌2동,주거형
11440555,25531.610213301283,3040.2257113782052,28121.57221010101,3359.4158821969695,0.9079012376175242,0.9049864077531173,아현동,혼합형
11440565,34386.50604054487,4964.728078044872,35791.40362929293,5100.82657790404,0.9607476252314887,0.9733183440408021,공덕동,주거형
11440585,17301.495784134615,2292.6548905448717,17275.164107133838,2313.615399684343,1.0015242504694877,0.9909403658264329,도화동,주거형
11440590,22821.785428365383,2332.7008094551284,25063.25369753788,2685.97623364899,0.9105675465674798,0.8684741064466066,용강동,혼합형
11440600,19589.342900160256,6003.151905288461,21774.16407152778,6831.789800315657,0.8996599288868027,0.878708520132029,대흥동,혼합형
11440610,15673.217790064104,2209.7111889423077,16612.299130113635,2284.703350441919,0.9434707181291222,0.9671764119901579,염리동,혼합형
11440630,16234.152767147436,2567.79770400641,16019.084583648992,2510.322135669192,1.0134257474186739,1.0228956943495606,신수동,주거형
11440655,25474.729903846157,6328.635981730769,25446.912971338385,6594.806544760101,1.0010931358369128,0.959639367550392,서강동,주거형
11440660,74995.4812525641,27582.90700240385,71043.86930132576,23495.182953535354,1.0556221386883922,1.173981367029679,서교동,주거형
11440680,19724.08281330128,4638.509092948718,19849.165355555557,4379.269231313131,0.9936983475116616,1.059197059587463,합정동,주거형
11440690,21543.610487660255,4185.608536698718,19271.778895075757,3509.9069656565657,1.1178838551933048,1.1925126727442348,망원1동,상권형
11440700,17234.946900801282,2476.8041634615383,15806.975127083335,2216.475720833333,1.0903380793755595,1.1174515200781576,망원2동,주거형
11440710,17624.321503685896,4687.505950320513,16396.104359469697,4047.5098251262625,1.0749090831144188,1.1581209565499413,연남동,주거형
11440720,19685.056193269233,3223.819583974359,19314.51140094697,3116.7332945075755,1.0191847872633266,1.034358502748854,성산1동,주거형
