period,group,ratio,anchor_ratio,adjusted_ratio
2022-01-01,왕십리,27.3285,55.02571,49.66
2022-02-01,왕십리,23.96481,47.23269,50.74
2022-03-01,왕십리,27.61995,39.13882,70.57
2022-04-01,왕십리,29.70176,29.31916,101.3
2022-05-01,왕십리,34.5795,43.00733,80.4
2022-06-01,왕십리,30.04512,53.33017,56.34
2022-07-01,왕십리,31.47538,54.16527,58.11
2022-08-01,왕십리,30.29937,100.0,30.3
2022-09-01,왕십리,28.20202,48.36863,58.31
2022-10-01,왕십리,30.66317,49.52052,61.92
2022-11-01,왕십리,30.55199,45.02415,67.86
2022-12-01,왕십리,31.42714,52.69127,59.64
2023-01-01,왕십리,29.86363,50.63562,58.98
2023-02-01,왕십리,28.44196,42.43792,67.02
2023-03-01,왕십리,31.61681,43.93603,71.96
2023-04-01,왕십리,28.42112,45.15986,62.93
2023-05-01,왕십리,31.11894,90.43827,34.41
2023-06-01,왕십리,27.57457,47.86831,57.61
2023-07-01,왕십리,28.10024,67.17938,41.83
2023-08-01,왕십리,33.57804,60.9744,55.07
2023-09-01,왕십리,27.50345,49.74697,55.29
2023-10-01,왕십리,27.46421,52.3847,52.43
2023-11-01,왕십리,28.30585,59.18852,47.82
2023-12-01,왕십리,28.621,62.77499,45.59
2024-01-01,왕십리,27.32482,57.23301,47.74
2024-02-01,왕십리,28.31157,52.62628,53.8
2024-03-01,왕십리,31.31964,49.31982,63.5
2024-04-01,왕십리,27.10613,48.33062,56.08
2024-05-01,왕십리,28.04301,50.82896,55.17
2024-06-01,왕십리,25.20867,49.65337,50.77
2024-07-01,왕십리,26.06829,68.11667,38.27
2024-08-01,왕십리,24.98385,50.19906,49.77
2024-09-01,왕십리,23.77555,47.74323,49.8
2024-10-01,왕십리,24.56528,48.28892,50.87
2024-11-01,왕십리,25.7233,50.38668,51.05
2024-12-01,왕십리,26.04581,50.97407,51.1
2020-01-01,을지로,81.21792,,
2020-02-01,을지로,60.0682,,
2020-03-01,을지로,51.8908,,
2020-04-01,을지로,66.16148,,
2020-05-01,을지로,75.58128,,
2020-06-01,을지로,70.0115,,
2020-07-01,을지로,93.94663,,
2020-08-01,을지로,66.45951,,
2020-09-01,을지로,41.93973,,
2020-10-01,을지로,73.83975,,
2020-11-01,을지로,64.91183,,
2020-12-01,을지로,20.75476,,
2021-01-01,을지로,33.89345,,
2021-02-01,을지로,56.08861,,
2021-03-01,을지로,71.44515,,
2021-04-01,을지로,68.32906,,
2021-05-01,을지로,80.48918,,
2021-06-01,을지로,85.50592,,
2021-07-01,을지로,57.27969,,
2021-08-01,을지로,62.29124,,
2021-09-01,을지로,61.95123,,
2021-10-01,을지로,76.75422,,
2021-11-01,을지로,87.25678,,
2021-12-01,을지로,79.99937,,
2022-01-01,을지로,18.41956,55.02571,33.47
2022-02-01,을지로,13.65301,47.23269,28.91
2022-03-01,을지로,16.4988,39.13882,42.15
2022-04-01,을지로,23.39254,29.31916,79.79
2022-05-01,을지로,27.20751,43.00733,63.26
2022-06-01,을지로,23.41625,53.33017,43.91
2022-07-01,을지로,24.01713,54.16527,44.34
2022-08-01,을지로,21.92428,100.0,21.92
2022-09-01,을지로,20.9784,48.36863,43.37
2022-10-01,을지로,24.25626,49.52052,48.98
2022-11-01,을지로,21.01438,45.02415,46.67
2022-12-01,을지로,20.80959,52.69127,39.49
2023-01-01,을지로,18.86143,50.63562,37.25
2023-02-01,을지로,19.1676,42.43792,45.17
2023-03-01,을지로,19.9238,43.93603,45.35
2023-04-01,을지로,20.30845,45.15986,44.97
2023-05-01,을지로,22.52188,90.43827,24.9
2023-06-01,을지로,20.76871,47.86831,43.39
2023-07-01,을지로,21.06384,67.17938,31.35
2023-08-01,을지로,21.51265,60.9744,35.28
2023-09-01,을지로,20.09303,49.74697,40.39
2023-10-01,을지로,19.49419,52.3847,37.21
2023-11-01,을지로,18.25361,59.18852,30.84
2023-12-01,을지로,19.27346,62.77499,30.7
2024-01-01,을지로,19.61641,57.23301,34.27
2024-02-01,을지로,18.38277,52.62628,34.93
2024-03-01,을지로,19.54202,49.31982,39.62
2024-04-01,을지로,20.93058,48.33062,43.31
2024-05-01,을지로,22.17648,50.82896,43.63
2024-06-01,을지로,18.51889,49.65337,37.3
2024-07-01,을지로,18.25933,68.11667,26.81
2024-08-01,을지로,17.65968,50.19906,35.18
2024-09-01,을지로,17.35352,47.74323,36.35
2024-10-01,을지로,18.5332,48.28892,38.38
2024-11-01,을지로,17.04981,50.38668,33.84
