행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
장지동,79.8,83.9,76.7,66.4,53.9,7.94,6.97,5.9,4.85,4.06,,5.1,-8.6,-13.4,-18.9
장충동,60.8,73.5,83.0,80.6,72.0,9.8,8.45,8.6,8.25,8.25,,20.8,13.0,-2.9,-10.7
전농1동,221.6,264.6,214.9,247.1,221.5,20.4,14.17,16.26,15.42,12.03,,19.4,-18.8,14.9,-10.3
전농2동,60.4,55.0,57.7,50.4,43.8,12.94,9.02,8.37,7.64,7.37,,-8.9,4.9,-12.7,-13.1
정릉1동,36.1,45.4,49.7,38.2,30.7,9.85,11.54,10.85,8.34,7.09,,25.8,9.4,-23.1,-19.7
정릉2동,44.8,59.9,45.3,55.8,37.2,10.62,11.16,8.04,9.24,6.32,,33.8,-24.5,23.2,-33.2
정릉3동,48.2,60.7,68.8,62.4,62.6,16.24,14.98,15.65,13.01,13.32,,25.9,13.4,-9.3,0.3
정릉4동,67.1,80.1,78.9,68.3,64.3,9.47,9.26,8.76,7.48,7.18,,19.5,-1.5,-13.4,-5.9
제기동,381.7,600.1,599.6,590.8,535.2,2.38,2.59,2.52,2.17,1.72,,57.2,-0.1,-1.5,-9.4
조원동,228.4,245.6,222.0,212.6,196.0,12.63,10.26,9.55,8.74,7.98,,7.5,-9.6,-4.3,-7.8
종로1·2·3·4가동,1900.1,2285.7,2340.9,2186.1,2123.4,12.87,11.71,10.67,9.47,9.23,,20.3,2.4,-6.6,-2.9
종로5·6가동,254.2,276.7,321.1,340.7,307.5,7.77,7.09,7.84,7.82,7.18,,8.8,16.1,6.1,-9.7
종암동,129.0,135.0,129.1,116.1,103.5,11.08,9.48,8.4,7.63,6.3,,4.7,-4.3,-10.1,-10.9
중계1동,19.4,17.9,11.9,11.1,10.4,4.82,4.38,2.88,2.38,2.2,,-7.7,-33.3,-7.3,-6.0
중계2·3동,336.3,105.4,125.9,129.4,125.6,6.67,5.72,5.83,5.64,5.88,,-68.6,19.4,2.8,-2.9
중계4동,98.9,116.8,108.4,103.8,85.1,9.66,9.2,8.09,5.73,4.87,,18.1,-7.2,-4.2,-18.1
중계본동,74.1,88.2,76.2,67.3,61.8,5.56,5.75,4.69,3.91,3.57,,19.1,-13.6,-11.7,-8.2
중곡1동,153.2,149.3,168.1,156.4,160.4,9.16,8.25,8.49,7.27,7.21,,-2.5,12.6,-7.0,2.6
