행정동,YQ,연도,분기,총매출,20대매출,20대비중,QoQ_총매출,QoQ_20대매출
성수2가3동,11,2022,3,121571383063,22720619951,0.1868911858905632,-0.027825796247243684,0.10991216549213023
성수2가3동,12,2022,4,127481761485,23272755327,0.18255752866843122,0.0486165269579697,0.02430107000560522
성수2가3동,13,2023,1,114956734178,19479663024,0.16945212616981203,-0.09824956261271733,-0.1629842384240351
성수2가3동,14,2023,2,116627606020,20744700178,0.17787126809790277,0.014534788709400948,0.06494142904019462
성수2가3동,15,2023,3,112457189426,18986138182,0.16882991900214092,-0.0357584000591149,-0.08477162749572908
성수2가3동,16,2023,4,127864590094,22724462058,0.17772287105674878,0.1370068089611869,0.19689753862342352
성수2가3동,17,2024,1,113526444645,18439925351,0.16242845804483794,-0.11213538821388525,-0.18854293210833817
성수2가3동,18,2024,2,121096808308,19746213114,0.16306138361448053,0.06668370252122946,0.07084018715559282
성수2가3동,19,2024,3,123939615972,25783581806,0.20803341694898372,0.02347549620605638,0.30574817850616265
성수2가3동,20,2024,4,123600639874,21053538509,0.17033519025841803,-0.0027350100719739645,-0.18345175362328014
신촌동,1,2020,1,104180738853,43949773327,0.421860833498345,,
신촌동,2,2020,2,101403549955,41324454700,0.40752473378238346,-0.026657412191313457,-0.05973452030040771
신촌동,3,2020,3,94107755166,39499074758,0.41972178263445115,-0.07194812008295237,-0.044171906326449406
신촌동,4,2020,4,93078602477,35717183780,0.38373141441209135,-0.010935896698254455,-0.09574631813961743
신촌동,5,2021,1,96146696657,31849330438,0.33125766714192356,0.03296240057706212,-0.10829110620322258
신촌동,6,2021,2,107702354327,36795507558,0.34164069845941797,0.12018777630212729,0.15529924968528164
신촌동,7,2021,3,100907291450,32195145783,0.31905668381707414,-0.06309112664676952,-0.12502509355927605
신촌동,8,2021,4,119252041878,39992734203,0.3353630979661908,0.1817980659711782,0.2421976428545125
신촌동,9,2022,1,100322919100,32191734532,0.32088115877003026,-0.1587320642892246,-0.19506042351099917
신촌동,10,2022,2,129022805434,42790850913,0.33165339080221073,0.28607507229123286,0.329249620596368
신촌동,11,2022,3,129584517724,43949425792,0.3391564560637343,0.004353589182242157,0.027075294234170544
신촌동,12,2022,4,142053233766,47149991474,0.33191776226417175,0.09622072343979338,0.07282383385729219
신촌동,13,2023,1,130701812796,40397897958,0.3090844502750182,-0.07990962732111295,-0.14320455433641632
신촌동,14,2023,2,139537374514,45868492867,0.32871833103322395,0.06760091179294192,0.13541781096351957
신촌동,15,2023,3,127737097436,41332150374,0.3235720178682517,-0.0845671428110184,-0.09889887828129762
신촌동,16,2023,4,139152401302,44454532690,0.3194665149437207,0.08936561183190661,0.07554366970376969
신촌동,17,2024,1,129195668996,37285860973,0.28859992957004155,-0.07155271639467498,-0.16125851028488225
신촌동,18,2024,2,134755428929,40698883161,0.3020203600290082,0.0430336401847351,0.09153663342980045
신촌동,19,2024,3,119579490879,35135061045,0.2938217982593055,-0.11261837961271237,-0.13670699743750148
신촌동,20,2024,4,132170787496,38442999479,0.29085851879458186,0.10529645614347749,0.09414921550195365
역삼1동,1,2020,1,424653832349,98970508734,0.23306161676803494,,
역삼1동,2,2020,2,425433150077,100684378884,0.23666321927611172,0.0018351835510095338,0.01731697827891665
역삼1동,3,2020,3,428719108569,103113868438,0.2405161476990811,0.0077237951283422035,0.02412975658119776
역삼1동,4,2020,4,420872697352,90762486587,0.215653063641451,-0.018301986219345645,-0.11978390528938987
역삼1동,5,2021,1,457377634218,90162685049,0.19712963272276174,0.08673629127210614,-0.006608474057451685
역삼1동,6,2021,2,501408509743,101722579698,0.20287366034162152,0.09626809933608071,0.1282115172448295
역삼1동,7,2021,3,461984838081,97983639011,0.21209275918665643,-0.07862585276465861,-0.036756251149945185
역삼1동,8,2021,4,533830343527,113607511692,0.21281576266609126,0.15551485573516444,0.15945389290191603
역삼1동,9,2022,1,485921227216,89301670868,0.1837780814385043,-0.0897459593519282,-0.21394571945115115
역삼1동,10,2022,2,536295264237,107940708144,0.2012710447808444,0.10366708470343888,0.2087199163781721
역삼1동,11,2022,3,540126422349,112567017356,0.20840864786145452,0.007143747796189537,0.042859726340021886
역삼1동,12,2022,4,550704585319,111885755936,0.20316837542071542,0.01958460562620834,-0.0060520517999110846
