행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110560,2021,4,2021Q4,39944931.9001,17902041.0031,22042890.8843,2620289.8499,4096036.466,4210718.0401,4413277.5732,6263450.915,6880136.443,5659945.088500001,5801077.511700001,8623995.6133,0.215897
11110560,2022,1,2022Q1,39083411.0083,17595891.1657,21487519.7919,2620047.6434,3917326.2161999997,4149521.2978,4439277.2938,6111193.7858,6804389.182,5571667.2363,5469988.302300001,8588798.5916,0.219756
11110560,2022,2,2022Q2,39298749.4224,17571908.0489,21726841.3439,2552043.9975,4178070.1561000003,4213684.7011,4354241.9222,6091789.174,6727485.1899999995,5632507.0691,5548927.1828,8567926.623300001,0.21802
11110560,2022,3,2022Q3,38983523.8126,17393873.274,21589650.5436,2469095.4888,3994609.3798,4096185.5276,4319254.2754999995,6079416.3833,6706470.6796,5637436.2594,5681055.8236,8415439.8031,0.215872
11110560,2022,4,2022Q4,40090094.811100006,17598070.2005,22492024.6422,2513275.3892,4096837.3957,4267558.9228,4433093.5494,6278587.3198,6981674.177999999,5717839.0275,5801229.0603,8700652.472199999,0.217027
11110560,2023,1,2023Q1,38478333.6613,17085754.9903,21392578.6335,2604790.0604,3956165.6572000002,3952019.6329,4206964.1707,5861445.6898,6724456.1508,5574931.1497,5597561.1123,8158983.8036,0.212041
11110560,2023,2,2023Q2,38770413.652600005,17257574.584200002,21512839.010700002,2477173.2473,4048400.5438,4144290.3672,4176565.9014999997,5951554.8021,6879507.241,5471287.2607,5621634.2313,8320856.2687,0.214619
11110560,2023,3,2023Q3,38642952.5741,17192160.376000002,21450792.229000002,2599017.9684,3876386.0264,4083494.9205,4210015.5857,5821143.473999999,6898480.4706999995,5566084.4709,5588329.6884,8293510.5062,0.214619
11110560,2023,4,2023Q4,39027327.9273,17378424.5966,21648903.3371,2619205.5571,4094239.4987000003,4093145.2249999996,4228974.4936,5921642.6482,6881497.2489,5589621.2384,5599002.0238,8322119.718599999,0.213238
11110560,2024,1,2024Q1,38033396.2237,16853411.1388,21179985.0589,2589375.8085,3920855.9421,4002799.1075999998,4120143.1781,5658464.4909,6691059.745999999,5427099.6925,5623598.232,8122942.2857,0.213574
11110560,2024,2,2024Q2,38366989.1351,16822325.7809,21544663.4126,2573204.5315,4163892.6711999997,4096590.8425000003,4206722.6075,5792754.2366,6646763.1636,5400614.7873,5486446.3533,8303313.45,0.216418
11110560,2024,3,2024Q3,37879031.5788,16612319.376699999,21266712.23,2575964.8148999996,3948878.352,4020952.6097999997,4127953.2905,5609258.7644,6593704.7609,5369974.8732,5632344.141,8148905.9003,0.21513
11110560,2024,4,2024Q4,38146547.6676,16814712.4041,21331835.253200002,2539926.7268,3949029.744,4159697.9167,4103309.6735,5753339.7093,6688652.438999999,5324078.3295,5628513.1185,8263007.5901999995,0.216612
11110570,2020,1,2020Q1,15929820.7535,7126740.1794,8803080.5449,1307843.0079,1757531.3388,1956058.7010000001,1635832.885,2491900.9949,2275568.0527,1975233.2129000002,2529852.5311000003,3591891.586,0.225482
11110570,2020,2,2020Q2,15552784.8667,6924766.5768,8628018.344,1172741.5690000001,1753280.5518999998,1966971.7707,1656647.453,2418086.3102,2245690.7441,1951665.2507,2387701.2712,3623619.2237,0.232988
11110570,2020,3,2020Q3,15980416.2007,7150052.249399999,8830363.9186,1168181.598,1810189.304,2011311.5926,1778596.1382,2412837.1085,2401341.4058,1943201.4062,2454757.6147,3789907.7308,0.23716
11110570,2020,4,2020Q4,16162343.256499998,7304066.0148,8858277.235199999,1234032.8654,1836430.0637,1965374.2371999999,1856643.8215,2465177.6969,2368687.9494000003,1945661.3344999999,2490335.2813999997,3822018.0587,0.236477
11110570,2021,1,2021Q1,15503102.989699999,6995921.4924,8507181.431699999,1224087.7739,1754622.6226,1905471.2943,1812598.4235999999,2373207.2002,2285654.7890999997,1849430.7175,2298030.1029000003,3718069.7178999996,0.239827
11110570,2021,2,2021Q2,15608160.874699999,7077536.036499999,8530624.829599999,1167158.3401,1854713.0438,1931089.5427,1868317.8699,2336042.1114999996,2323443.5398,1880480.4242000002,2246915.9941,3799407.4126000004,0.243424
11110570,2021,3,2021Q3,15292465.648699999,6948762.5373,8343703.0621,1145795.7122,1767241.1894,1958441.7863999999,1810020.3861,2340620.059,2278071.0203,1883948.9342999998,2108326.5117,3768462.1725,0.246426
11110570,2021,4,2021Q4,14400525.8444,6538232.6381,7862293.192399999,1105827.5923000001,1664258.2053,1732713.1822,1708124.833,2234851.3962,2157509.5439,1825324.2397,1971916.8379000002,3440838.0152000003,0.238938
11110570,2022,1,2022Q1,13600454.4627,6079834.4123,7520620.0569,1055573.5529,1596446.9243,1612089.9557,1644188.2098,2083324.4547000001,2046879.2366,1697161.079,1864791.0562,3256278.1655,0.239424
11110570,2022,2,2022Q2,14979729.3003,6840204.9363,8139524.4043,1133410.7092,1835065.8926,1848915.8703,1766398.3149,2210285.2697,2193288.8398,1852092.4172999999,2140272.0268,3615314.1852,0.241347
11110570,2022,3,2022Q3,15088844.0698,6808224.1483,8280619.8802000005,1135908.7984,1822181.321,1911440.6942999999,1806454.5841,2214631.3397,2245518.3312,1862015.1246,2090693.8352,3717895.2784,0.2464
11110570,2022,4,2022Q4,14817609.107900001,6632261.104499999,8185347.9984,1117394.7508999999,1753051.185,1759600.4418000001,1770818.5126999998,2201691.654,2187096.4971,1891776.5479000001,2136179.5135,3530418.9545,0.238258
11110570,2023,1,2023Q1,14420099.3396,6365588.1274,8054511.2126,1047545.422,1581401.4646,1736761.6382,1822971.2051,2111205.7969,2184915.8715,1869460.0565999998,2065837.8851,3559732.8433,0.246859
11110570,2023,2,2023Q2,14397865.9455,6460285.0143,7937580.9626,1082266.5555,1638741.9326999998,1669675.7925,1766595.1643,2137102.9119,2191505.7423,1845414.9989,2066562.8788,3436270.9568,0.238665
11110570,2023,3,2023Q3,14399708.4374,6396331.2026,8003377.276000001,1056026.2889999999,1647999.5861,1642061.5324,1787664.4212,2172961.5516,2216190.2675,1843586.6086,2033218.2222,3429725.9535999997,0.23818
11110570,2023,4,2023Q4,14224713.653099999,6354026.6425,7870686.984999999,1017140.5046000001,1646345.0094,1571605.8528,1758401.3207,2209174.4699,2202017.5105,1824256.9897,1995771.9699,3330007.1735,0.2341
11110570,2024,1,2024Q1,13614094.0826,5941509.3549,7672584.7336,1036482.142,1523471.0168,1527148.5509,1620833.955,2156289.5724,2133171.4805,1759108.9342999998,1857588.4366000001,3147982.5059,0.23123
11110570,2024,2,2024Q2,12936212.8443,5680999.1103,7255213.740800001,882031.9835000001,1453862.4506,1462325.9198,1602722.7311,2055693.6245,1986688.4736000001,1704074.8618,1788812.8062,3065048.6509,0.236936
11110570,2024,3,2024Q3,13314744.254,5876916.4281,7437827.831,901670.4210000001,1469820.8928999999,1596117.9619,1632075.102,2077480.5118,2037126.0597,1798231.0879000002,1802222.2219,3228193.0639,0.242453
11110570,2024,4,2024Q4,12734816.1372,5589159.4318,7145656.6816,923128.9704,1460775.009,1425277.9956999999,1557600.3383,1995200.3218,1952613.941,1657053.5432,1763165.994,2982878.334,0.23423
11110580,2020,1,2020Q1,15390943.0198,7134960.2996,8255982.7245,1409902.4802,1356843.9785,1901691.8937,2273283.7269,2625750.4012,2285776.3392,1751108.3239,1786585.8805,4174975.6206,0.271262
11110580,2020,2,2020Q2,14682316.3886,6775931.5878,7906384.7879,1324029.5607,1341242.0171,1840919.2179,2182244.4648,2513360.3312,2183839.1496,1620900.8233999999,1675780.811,4023163.6827000002,0.274014
11110580,2020,3,2020Q3,14770216.8178,6825719.3844,7944497.446,1316308.9314000001,1364132.9667,1885424.5602000002,2212994.1729,2574351.3614,2159804.65,1559273.6276,1697926.5602000002,4098418.7331000003,0.277479
11110580,2020,4,2020Q4,14612636.4093,6833943.661,7778692.701,1311713.2554,1369969.6249,1785201.6362,2163434.7257,2600850.1158,2145786.0091,1545398.6992,1690282.2957000001,3948636.3619,0.270221
11110580,2021,1,2021Q1,13632503.4257,6366073.8262,7266429.612199999,1182164.9784,1264493.2345,1617279.3036,2024734.4596000002,2451115.7659,2015517.1427,1457176.2869,1620022.2667999999,3642013.7632,0.267157
11110580,2021,2,2021Q2,13749263.99,6475762.369200001,7273501.6534,1177397.0956000001,1294974.4012,1633691.0905,2049463.4446999999,2475462.4664000003,2058065.6743,1450799.413,1609410.4369,3683154.5352,0.26788
