행정동,업종,연도,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,연령대_20_매출_금액,연령대_20_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액
가락2동,스포츠클럽,2023,1197363213,4954,1039787902,157575311,4291,663,118548524,854,226470783,240409691,256838708,86454131,229614589,41247069,116328242
가락2동,스포츠클럽,2024,1594140462,6256,1418143637,175996825,5266,990,182164194,970,311197181,232017584,300935232,286151584,287842056,110444495,65552330
가락2동,신발,2020,130570847,3795,106402943,24167904,3153,642,0,0,21601402,22403435,20799368,26627470,14971268,22029151,2138753
가락2동,안경,2020,1335287845,9943,825977027,509310818,6546,3397,173343401,1750,178076159,175736492,151891473,127439303,192833600,296945737,212365081
가락2동,안경,2021,1752827506,11844,1150588922,602238584,8093,3751,182391420,1595,245101569,224787233,209309486,206674116,264716518,402184682,200053902
가락2동,안경,2022,1643698781,12094,1068863347,574835434,8131,3963,159329677,1646,213841128,230612099,203711596,193103411,227595113,401651716,173183718
가락2동,안경,2023,1600800145,12167,1049196615,551603530,8501,3666,153471928,1583,209393775,260810561,187310079,200443638,191238562,378311464,173292066
가락2동,안경,2024,1891538918,12870,1208385049,683153869,8881,3989,144363684,1411,255567334,227088628,245024852,242471024,238233211,451671382,231482487
가락2동,애완동물,2020,223721679,5262,147850397,75871282,3829,1433,34918128,746,32572490,25195408,33739971,24724555,31617973,40167859,35703423
가락2동,애완동물,2021,316928366,5770,194597509,122330857,3871,1899,47241399,768,39015878,29471275,36584600,47226315,42299441,67982247,54348610
가락2동,애완동물,2022,407082413,5869,249378688,157703725,3981,1888,55783182,617,49560221,47684867,51144063,55240018,45749519,77678465,80025260
가락2동,애완동물,2023,259248565,4257,164753379,94495186,2906,1351,32808767,365,27046678,26906530,37292085,34428476,39079610,67330448,27164738
가락2동,애완동물,2024,212043645,3304,132888584,79155061,2205,1099,30670739,241,30188596,19297109,24777871,27372431,31252577,53713621,25441440
가락2동,예술학원,2020,868518193,5129,799033540,69484653,4727,402,13889504,90,229022926,123711846,174606155,128748744,142943869,65625541,3859112
가락2동,예술학원,2021,1774121387,11701,1570644177,203477210,10631,1070,24794353,171,282753124,332643977,312525133,305650773,337071170,200803860,2673350
가락2동,예술학원,2022,1687614233,11107,1470488988,217125245,9961,1146,77306320,354,304215918,420784859,252002049,260989309,232496853,199308805,17816440
가락2동,예술학원,2023,1805768811,11103,1573218074,232550737,9748,1355,46723565,243,285082298,336875793,360464882,287979018,302816083,199992536,32558201
가락2동,예술학원,2024,1916536860,11700,1729908264,186628596,10733,967,13988876,66,325965977,443654692,352675579,358801314,248810702,142619431,44009165
가락2동,외국어학원,2020,94215273,345,90378433,3836840,335,10,0,0,20216940,18375908,26913279,9524945,15347361,2711367,1125473
가락2동,외국어학원,2021,67354491,255,54396975,12957516,211,44,0,0,18001805,14313168,4319172,7232878,10529952,5674824,7282692
가락2동,외국어학원,2022,77650512,252,58513744,19136768,196,56,0,0,7692540,13997900,7881700,19357456,9584148,5044288,14092480
가락2동,외국어학원,2023,45713860,140,32157336,13556524,101,39,0,0,4098484,3783216,8196968,8196968,7881700,9142772,4413752
가락2동,외국어학원,2024,52239907,253,52239907,0,253,0,0,0,17371269,8764449,4571386,9773308,11759495,0,0
가락2동,운동/경기용품,2020,205592131,5136,96922675,108669456,2129,3007,962389,50,10373410,9563727,12448034,28959756,35577748,54067965,54601491
가락2동,운동/경기용품,2021,7484547899,155950,5035817725,2448730174,107389,48561,107602825,3114,998325393,1021582380,988157666,958861789,1068890497,1222917094,1225813080
가락2동,운동/경기용품,2022,6599912123,141466,4455841518,2144070605,94659,46807,104413139,3041,862058037,848857249,886391136,959559175,898975921,1100521193,1043549412
가락2동,운동/경기용품,2023,5570852285,109395,3680249662,1890602623,72967,36428,112351711,2611,651829020,702637145,726846284,844905561,754031652,996845469,893757154
가락2동,운동/경기용품,2024,4733781210,90116,3068077656,1665703554,59767,30349,57357843,1603,564361058,571546161,623930313,694685026,613555098,844349951,821353603
